month,month_name,year,price,price_pct_change
01,Jan,2014,938.8881590909092,0.0
01,Jan,2015,1011.513659090909,0.0
01,Jan,2016,977.6697727272726,0.0
01,Jan,2017,1054.8205340909085,0.0
01,Jan,2018,1115.2209545454543,0.0
02,Feb,2014,994.6853750000001,0.05426683342465898
02,Feb,2015,1049.1753068181815,0.07388742338608252
02,Feb,2016,995.3233749999996,0.023654691306254215
02,Feb,2017,1087.6447499999997,0.022825835281794216
02,Feb,2018,1069.1295568181822,-0.0371490990632853
03,Mar,2014,983.6965340909087,-0.018359975850889478
03,Mar,2015,1020.312602272727,-0.02959754621471084
03,Mar,2016,1004.1071022727275,0.020585548087539183
03,Mar,2017,1094.2304772727275,-0.005555494622048643
03,Mar,2018,1047.8778636363636,-0.013576622420900962
04,Apr,2014,965.0261704545453,-0.019748153802549986
04,Apr,2015,1051.4130568181818,0.03184252704873681
04,Apr,2016,981.0494659090909,-0.011308642641384502
04,Apr,2017,1104.1034545454547,0.017145551495836218
04,Apr,2018,1101.640920454545,0.07056633473839397
05,May,2014,980.8979545454546,0.009145267727971822
05,May,2015,1082.5689204545456,0.03367292481774458
05,May,2016,996.8026363636365,0.01019479511185185
05,May,2017,1131.7749659090907,0.01349974770339084
05,May,2018,1127.9567727272731,0.012621954930473916
06,Jun,2014,964.8015681818182,-0.026214658927234756
06,Jun,2015,1037.4735681818183,-0.03730650729186594
06,Jun,2016,979.9047954545455,-0.040093428089963586
06,Jun,2017,1085.959193181818,-0.04127664912335381
06,Jun,2018,1117.135636363636,-0.0213645478877895
07,Jul,2014,951.0654772727274,-0.017036732460793468
07,Jul,2015,1067.8744318181818,0.006327264678024109
07,Jul,2016,1019.5560113636362,0.04775695731882368
07,Jul,2017,1098.2171250000001,0.011818032975530728
07,Jul,2018,1132.5652272727273,0.003095548826656093
08,Aug,2014,974.3490454545453,0.0210415450433973
08,Aug,2015,1018.523943181818,-0.04371625004461479
08,Aug,2016,1043.2694772727273,0.03896226518033466
08,Aug,2017,1106.8798409090907,0.0037439016512437976
08,Aug,2018,1114.2837045454546,-0.01909249071851856
09,Sep,2014,945.1615454545456,-0.034430719796874155
09,Sep,2015,993.9011931818181,-0.029632321868793388
09,Sep,2016,1047.3967272727275,0.0029109227797174423
09,Sep,2017,1124.6116136363637,0.014943699645571904
09,Sep,2018,1111.2058181818184,-0.013417574329199176
10,Oct,2014,943.3495795454547,-0.00505075353955729
10,Oct,2015,1025.5107386363638,0.027711786737484898
10,Oct,2016,1030.7125568181818,-0.013854889574934238
10,Oct,2017,1136.9971363636362,-0.0018022973057251466
10,Oct,2018,1021.6663295454545,-0.06429927310415218
11,Nov,2014,974.3175681818182,0.019124912571940045
11,Nov,2015,1038.6574886363635,0.0072106272866103716
11,Nov,2016,1017.4836590909086,0.007316043581289638
11,Nov,2017,1100.6943181818185,-0.02933065993112366
11,Nov,2018,983.6880795454546,-0.05636761008024022
12,Dec,2014,979.3060909090908,0.007611177422993296
12,Dec,2015,1024.241352272727,-0.01622410637810591
12,Dec,2016,1058.6604999999997,0.05203546687192883
12,Dec,2017,1145.0062386363636,0.03570830896776927
12,Dec,2018,925.7253068181816,-0.0713657824053462
