country,year,month,price,price_index,2016_pct_change
europe,2016,01,56.07481505376343,106.69496148556922,0.0
europe,2016,02,55.73203548387099,106.04274617335379,-0.006112897020949304
europe,2016,03,57.63656989247314,109.66655171205988,0.03417306387729768
europe,2016,04,57.85374516129029,110.07977656032462,0.003768011684635475
europe,2016,05,58.92585913978491,112.11971480236696,0.01853145333125239
europe,2016,06,55.850786021505385,106.2686958091599,-0.05218546090239917
europe,2016,07,59.656855913978504,113.51060075703094,0.06814711418757091
europe,2016,08,60.51973440860215,115.15242137939636,0.014464029010644808
europe,2016,09,60.880663440860246,115.83917013030852,0.005963823797065615
europe,2016,10,61.67103870967743,117.34303704069855,0.012982369510229796
europe,2016,11,61.27898064516129,116.59705829688014,-0.006357247627395868
europe,2016,12,64.86475698924731,123.41980516749058,0.05851560039566639
united kingdom,2016,01,977.6697727272726,104.13058927848384,0.0
united kingdom,2016,02,995.3233749999996,106.0108560708375,0.01805681505676615
united kingdom,2016,03,1004.1071022727275,106.94640171465868,0.008824998481250068
united kingdom,2016,04,981.0494659090909,104.49055687942695,-0.022963323644904943
united kingdom,2016,05,996.8026363636365,106.16841065807068,0.016057468050245216
united kingdom,2016,06,979.9047954545455,104.36863922145436,-0.016952042754155294
united kingdom,2016,07,1019.5560113636362,108.59184893234087,0.04046435540781079
united kingdom,2016,08,1043.2694772727273,111.11754548943154,0.02325862007068613
united kingdom,2016,09,1047.3967272727275,111.55713458852044,0.003956072797978827
united kingdom,2016,10,1030.7125568181818,109.78012096948618,-0.015929179479096445
united kingdom,2016,11,1017.4836590909086,108.37112485006739,-0.012834710938334881
united kingdom,2016,12,1058.6604999999997,112.75682729080975,0.040469289645281625
